time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 1
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	06_C1T2_R
0.000	info	start_time	2023-11-13T13:41:35.287
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 8, "intercept": 25.9}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 27.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
1.124	event	input	poke_4
1.287	event	sync	rsync
1.985	event	input	poke_4_out
2.303	event	input	poke_5
2.304	state		choice_state
2.343	event	input	poke_5_out
2.912	event	input	poke_4
2.913	state		chose_left
2.914	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
3.415	state		reward_left
3.486	state		reward_consumption
8.295	event	input	poke_4_out
8.652	event	sync	rsync
9.295	event	timer	consumption_timer
9.295	state		inter_trial_interval
10.290	event	input	poke_4
10.469	event	input	poke_4_out
11.581	event	input	poke_4
11.870	state		initiation_state
12.151	event	input	poke_4_out
12.918	event	input	poke_4
13.695	event	input	poke_4_out
14.043	event	input	poke_5
14.044	state		choice_state
14.125	event	input	poke_5_out
14.431	event	input	poke_4
14.432	state		chose_left
14.433	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.6105996, "threshold_crossed": false}
14.934	state		no_reward
15.034	state		reward_consumption
