time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 3
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	08_C2T1_R
0.000	info	start_time	2023-11-16T13:25:34.610
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.9, "intercept": 31.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 9.5, "intercept": 34.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.038	event	input	poke_6
0.073	event	input	poke_6_out
0.203	event	input	poke_6
0.983	event	input	poke_6_out
1.316	event	input	poke_5
1.317	state		choice_state
1.459	event	input	poke_5_out
1.785	event	input	poke_6
1.787	state		chose_right
1.788	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
1.871	event	input	poke_6_out
1.937	event	input	poke_6
2.288	state		reward_right
2.366	state		reward_consumption
6.470	event	input	poke_6_out
6.579	event	input	poke_6
7.355	event	input	poke_6_out
8.355	event	timer	consumption_timer
8.355	state		inter_trial_interval
9.377	event	sync	rsync
10.132	state		initiation_state
10.655	event	input	poke_5
10.657	state		choice_state
10.698	event	input	poke_5_out
11.002	event	input	poke_6
11.003	state		chose_right
11.004	variable	print	{"n_trials": 2, "n_rewards": 2, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.6105996, "threshold_crossed": false}
11.505	state		reward_right
11.583	state		reward_consumption
12.058	event	sync	rsync
