time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	09_C2T2_R
0.000	info	start_time	2023-11-17T12:46:07.328
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
1.091	event	input	poke_4
1.202	event	input	poke_4_out
1.422	event	input	poke_4
1.526	event	sync	rsync
1.988	event	input	poke_4_out
2.657	event	input	poke_5
2.658	state		choice_state
2.715	event	input	poke_5_out
3.255	event	input	poke_6
3.256	state		chose_right
3.257	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
3.758	state		no_reward
3.858	state		reward_consumption
4.099	event	input	poke_6_out
4.987	event	input	poke_6
5.133	event	input	poke_6_out
6.133	event	timer	consumption_timer
6.133	state		inter_trial_interval
6.840	event	input	poke_5
6.969	event	input	poke_5_out
7.049	event	input	poke_5
7.166	event	input	poke_5_out
7.929	state		initiation_state
8.732	event	input	poke_5
8.733	state		choice_state
8.833	event	input	poke_5_out
9.178	event	sync	rsync
9.228	event	input	poke_4
9.230	state		chose_left
9.231	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5069036, "threshold_crossed": false}
