time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	05_C1T4_R
0.000	info	start_time	2023-11-13T11:45:34.166
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
4.196	event	sync	rsync
6.018	event	input	poke_5
6.019	state		choice_state
6.154	event	input	poke_5_out
6.663	event	input	poke_6
6.664	state		chose_right
6.665	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
6.848	event	input	poke_6_out
7.155	event	input	poke_6
7.166	state		reward_right
7.255	event	input	poke_6_out
7.287	state		reward_consumption
7.461	event	input	poke_6
11.946	event	sync	rsync
12.787	event	sync	rsync
14.175	event	input	poke_6_out
15.176	event	timer	consumption_timer
15.176	state		inter_trial_interval
16.359	state		initiation_state
17.757	event	sync	rsync
20.289	event	sync	rsync
24.874	event	sync	rsync
24.883	event	input	poke_5
24.884	state		choice_state
24.970	event	input	poke_5_out
25.245	event	input	poke_6
25.247	state		chose_right
25.248	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.3894004, "threshold_crossed": false}
25.314	event	input	poke_6_out
25.517	event	input	poke_6
25.748	state		no_reward
