time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	09_C2T2_R
0.000	info	start_time	2023-11-13T13:41:35.460
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.431	event	input	poke_4
1.339	event	input	poke_4_out
2.283	event	input	poke_5
2.284	state		forced_choice_left
2.413	event	input	poke_5_out
2.569	event	input	poke_5
2.737	event	input	poke_5_out
3.105	event	input	poke_4
3.106	state		chose_left
3.107	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
3.608	state		reward_left
3.679	state		reward_consumption
5.423	event	input	poke_4_out
5.476	event	input	poke_4
6.254	event	sync	rsync
8.505	event	input	poke_4_out
8.529	event	input	poke_4
8.740	event	input	poke_4_out
8.759	event	input	poke_4
10.580	event	sync	rsync
11.056	event	input	poke_4_out
12.057	event	timer	consumption_timer
12.057	state		inter_trial_interval
12.321	event	input	poke_4
14.273	state		initiation_state
14.294	event	input	poke_4_out
16.453	event	input	poke_5
16.455	state		choice_state
16.528	event	input	poke_5_out
17.107	event	input	poke_6
17.108	state		chose_right
