time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	04_C1T3_L
0.000	info	start_time	2023-11-15T09:40:32.752
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
7.227	event	input	poke_5
7.228	state		choice_state
7.362	event	input	poke_5_out
7.796	event	input	poke_4
7.797	state		chose_left
7.798	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
8.299	state		no_reward
8.399	state		reward_consumption
8.885	event	input	poke_4_out
9.118	event	sync	rsync
9.885	event	timer	consumption_timer
9.885	state		inter_trial_interval
10.760	event	input	poke_5
10.807	event	input	poke_5_out
12.151	event	sync	rsync
12.745	state		initiation_state
13.757	event	input	poke_5
13.758	state		choice_state
13.893	event	input	poke_5_out
14.323	event	input	poke_6
14.325	state		chose_right
14.325	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5069036, "threshold_crossed": false}
14.826	state		reward_right
14.896	state		reward_consumption
19.394	event	sync	rsync
22.633	event	input	poke_6_out
22.678	event	input	poke_6
23.186	event	input	poke_6_out
24.187	event	timer	consumption_timer
24.187	state		inter_trial_interval
