time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	04_C1T3_L
0.000	info	start_time	2023-11-16T11:09:17.037
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
3.477	event	input	poke_4
4.341	event	sync	rsync
4.557	event	input	poke_4_out
5.062	event	input	poke_5
5.063	state		choice_state
5.177	event	input	poke_5_out
5.488	event	input	poke_4
5.489	state		chose_left
5.490	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
5.991	state		no_reward
6.091	state		reward_consumption
6.390	event	input	poke_4_out
7.390	event	timer	consumption_timer
7.390	state		inter_trial_interval
7.884	event	input	poke_5
8.227	event	input	poke_5_out
9.658	event	input	poke_5
9.806	event	input	poke_5_out
10.071	state		initiation_state
10.532	event	sync	rsync
11.067	event	input	poke_5
11.069	state		choice_state
11.207	event	input	poke_5_out
11.564	event	input	poke_6
11.566	state		chose_right
11.567	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5069036, "threshold_crossed": false}
12.067	state		reward_right
12.137	state		reward_consumption
16.350	event	input	poke_6_out
17.350	event	timer	consumption_timer
