time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	05_C1T4_R
0.000	info	start_time	2023-11-15T09:40:32.805
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.492	event	input	poke_6
0.646	event	input	poke_6_out
1.124	event	input	poke_6
1.228	event	input	poke_6_out
1.380	event	input	poke_6
1.607	event	input	poke_6_out
1.668	event	input	poke_6
1.892	event	input	poke_6_out
3.681	event	input	poke_5
3.682	state		forced_choice_left
3.739	event	input	poke_5_out
4.159	event	input	poke_6
4.780	event	input	poke_6_out
5.039	event	sync	rsync
5.656	event	input	poke_4
5.657	state		chose_left
5.658	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
5.705	event	input	poke_4_out
5.868	event	input	poke_4
5.886	event	input	poke_4_out
6.064	event	input	poke_4
6.159	state		reward_left
6.290	state		reward_consumption
6.357	event	input	poke_4_out
6.372	event	input	poke_4
7.985	event	sync	rsync
8.580	event	input	poke_4_out
9.580	event	timer	consumption_timer
9.580	state		inter_trial_interval
11.034	state		initiation_state
14.707	event	input	poke_5
14.709	state		choice_state
14.826	event	input	poke_5_out
15.226	event	input	poke_4
15.228	state		chose_left
