time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 2
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	07_C1T1_R
0.000	info	start_time	2023-11-13T13:41:35.336
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 6.5, "intercept": 26.3}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 30.2}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.304	event	input	poke_6_out
0.447	event	input	poke_6
0.784	event	input	poke_6_out
1.274	event	input	poke_5
1.275	state		choice_state
1.304	event	input	poke_5_out
1.708	event	input	poke_4
1.709	state		chose_left
1.710	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
2.211	state		no_reward
2.311	state		reward_consumption
3.067	event	input	poke_4_out
3.408	event	input	poke_5
3.546	event	input	poke_5_out
4.054	event	input	poke_4
5.474	event	input	poke_4_out
6.474	event	timer	consumption_timer
6.474	state		inter_trial_interval
6.831	event	sync	rsync
9.139	state		initiation_state
9.345	event	input	poke_5
9.347	state		choice_state
9.434	event	input	poke_5_out
9.700	event	input	poke_4
9.702	state		chose_left
9.703	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.3894004, "threshold_crossed": false}
10.203	state		reward_left
10.277	state		reward_consumption
12.079	event	sync	rsync
12.653	event	input	poke_4_out
