time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 1
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	01_C3T1_R
0.000	info	start_time	2023-11-14T09:50:06.969
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 8, "intercept": 25.9}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 27.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.293	event	input	poke_4
1.768	event	input	poke_4_out
1.879	event	input	poke_4
2.650	event	input	poke_4_out
3.058	event	input	poke_5
3.059	state		choice_state
3.075	event	input	poke_5_out
3.274	event	input	poke_5
3.432	event	input	poke_5_out
3.766	event	input	poke_4
3.767	state		chose_left
3.768	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
4.269	state		reward_left
4.340	state		reward_consumption
4.419	event	sync	rsync
10.647	event	input	poke_4_out
11.648	event	timer	consumption_timer
11.648	state		inter_trial_interval
12.730	event	sync	rsync
14.001	event	input	poke_5
14.120	event	input	poke_5_out
14.135	state		initiation_state
14.413	event	input	poke_4
15.270	event	input	poke_4_out
15.947	event	input	poke_4
16.697	event	input	poke_4_out
17.888	event	input	poke_5
17.889	state		choice_state
17.981	event	input	poke_5_out
18.305	event	input	poke_4
18.306	state		chose_left
