time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 2
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	02_C3T2_R
0.000	info	start_time	2023-11-16T11:09:16.930
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 6.5, "intercept": 26.3}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 30.2}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.790	event	input	poke_5
0.792	state		forced_choice_right
0.900	event	input	poke_5_out
1.235	event	input	poke_4
1.346	event	input	poke_4_out
1.444	event	input	poke_4
2.340	event	input	poke_4_out
2.419	event	input	poke_4
2.527	event	input	poke_4_out
3.081	event	input	poke_5
3.094	event	input	poke_5_out
3.422	event	input	poke_6
3.423	state		chose_right
3.424	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.5, "threshold_crossed": false}
3.469	event	input	poke_6_out
3.585	event	input	poke_6
3.656	event	input	poke_6_out
3.772	event	input	poke_6
3.829	event	input	poke_6_out
3.862	event	input	poke_6
3.925	state		no_reward
4.025	state		reward_consumption
4.153	event	input	poke_6_out
4.204	event	input	poke_6
4.894	event	input	poke_6_out
5.456	event	input	poke_6
5.639	event	input	poke_6_out
6.113	event	sync	rsync
6.640	event	timer	consumption_timer
6.640	state		inter_trial_interval
8.621	state		initiation_state
9.040	event	input	poke_5
9.041	state		choice_state
9.107	event	input	poke_5_out
9.394	event	input	poke_6
9.395	state		chose_right
