time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Optobox
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	05_C1T4_R
0.000	info	start_time	2023-11-17T10:16:23.200
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 11.7, "intercept": 51.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 11.3, "intercept": 64}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
1.485	event	input	poke_5
1.486	state		forced_choice_left
1.618	event	input	poke_5_out
2.066	event	input	poke_6
2.142	event	input	poke_6_out
2.288	event	input	poke_6
2.312	event	input	poke_6_out
2.413	event	input	poke_6
2.637	event	input	poke_6_out
2.649	event	input	poke_6
2.757	event	input	poke_6_out
2.791	event	input	poke_6
2.904	event	input	poke_6_out
2.922	event	input	poke_6
3.062	event	input	poke_6_out
3.291	event	input	poke_6
3.471	event	input	poke_6_out
3.873	event	input	poke_6
4.001	event	input	poke_6_out
6.279	event	input	poke_4
6.281	state		chose_left
6.282	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.5, "threshold_crossed": false}
6.318	event	input	poke_4_out
6.509	event	input	poke_4
6.782	state		no_reward
6.882	state		reward_consumption
7.029	event	sync	rsync
8.993	event	sync	rsync
9.430	event	input	poke_4_out
9.603	event	input	poke_4
9.747	event	input	poke_4_out
10.748	event	timer	consumption_timer
10.748	state		inter_trial_interval
10.837	event	sync	rsync
12.451	state		initiation_state
17.894	event	sync	rsync
19.159	event	input	poke_5
