time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	04_C1T3_L
0.000	info	start_time	2023-11-14T09:50:07.097
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.018	event	input	poke_4
1.002	event	input	poke_4_out
1.634	event	input	poke_5
1.635	state		choice_state
1.758	event	input	poke_5_out
2.125	event	input	poke_4
2.126	state		chose_left
2.127	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
2.435	event	sync	rsync
2.628	state		no_reward
2.728	state		reward_consumption
3.254	event	input	poke_4_out
3.278	event	input	poke_4
3.296	event	input	poke_4_out
4.296	event	timer	consumption_timer
4.296	state		inter_trial_interval
4.521	event	input	poke_5
5.194	event	input	poke_5_out
5.544	event	input	poke_4
5.730	event	sync	rsync
6.502	event	input	poke_4_out
7.016	state		initiation_state
8.880	event	input	poke_5
8.881	state		forced_choice_right
8.939	event	input	poke_5_out
9.372	event	input	poke_6
9.373	state		chose_right
9.374	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.4412485, "threshold_crossed": false}
9.874	state		reward_right
9.944	state		reward_consumption
