time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 2
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	02_C3T2_R
0.000	info	start_time	2023-11-17T10:16:23.028
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 6.5, "intercept": 26.3}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 7.3, "intercept": 30.2}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.556	event	input	poke_5
0.557	state		forced_choice_left
0.583	event	input	poke_5_out
0.904	event	input	poke_4
0.905	state		chose_left
0.906	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": true, "mov_ave": 0.5, "threshold_crossed": false}
0.987	event	input	poke_4_out
1.070	event	input	poke_4
1.407	state		reward_left
1.481	state		reward_consumption
3.108	event	input	poke_4_out
4.108	event	timer	consumption_timer
4.108	state		inter_trial_interval
5.811	state		initiation_state
6.770	event	input	poke_5
6.771	state		choice_state
6.788	event	input	poke_5_out
7.067	event	input	poke_4
7.068	state		chose_left
7.069	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
7.143	event	input	poke_4_out
7.182	event	input	poke_4
7.570	state		no_reward
7.670	state		reward_consumption
7.701	event	sync	rsync
7.977	event	input	poke_4_out
8.977	event	timer	consumption_timer
8.977	state		inter_trial_interval
9.610	event	input	poke_5
9.725	event	input	poke_5_out
