time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 4
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	09_C2T2_R
0.000	info	start_time	2023-11-15T11:29:30.994
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_4", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.1, "intercept": 27.4}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 8.0, "intercept": 23.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
1.770	event	input	poke_6
1.821	event	input	poke_6_out
2.428	event	input	poke_5
2.429	state		choice_state
2.535	event	input	poke_5_out
3.102	event	input	poke_6
3.104	state		chose_right
3.105	variable	print	{"n_trials": 1, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_6", "correct": false, "outcome": false, "mov_ave": 0.4412485, "threshold_crossed": false}
3.605	state		no_reward
3.705	state		reward_consumption
4.004	event	input	poke_6_out
4.924	event	sync	rsync
5.005	event	timer	consumption_timer
5.005	state		inter_trial_interval
7.431	state		initiation_state
8.052	event	input	poke_5
8.053	state		choice_state
8.098	event	input	poke_5_out
8.140	event	input	poke_5
8.170	event	input	poke_5_out
8.347	event	sync	rsync
8.555	event	input	poke_4
8.557	state		chose_left
8.557	variable	print	{"n_trials": 2, "n_rewards": 0, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_4", "choice": "poke_4", "correct": true, "outcome": false, "mov_ave": 0.5069036, "threshold_crossed": false}
8.759	event	input	poke_4_out
8.772	event	input	poke_4
9.058	state		no_reward
9.158	state		reward_consumption
9.434	event	input	poke_4_out
10.435	event	timer	consumption_timer
