time	type	subtype	content
0.000	info	experiment_name	Thomas\LRRK2_photometry
0.000	info	task_name	Thomas\reversal_learning
0.000	info	task_file_hash	2655257290
0.000	info	setup_id	Box 3
0.000	info	framework_version	2.0rc1
0.000	info	micropython_version	1.12
0.000	info	subject_id	08_C2T1_R
0.000	info	start_time	2023-11-15T11:29:30.942
0.000	variable	run_start	{"n_blocks": 0, "click_volume": 10, "good_prob": 0.75, "forced_choice": false, "session_duration": 5400000, "correct": null, "ITI_duration": [1000, 3000], "n_trials": 0, "post_choice_delay": 500, "good_poke": "poke_6", "trials_post_threshold": [5, 15], "trials_till_reversal": 0, "consumption_duration": 1000, "threshold": 0.75, "tau": 8, "reward_vol_ul": 6, "hw_poke_6_calibration": {"slope": 7.9, "intercept": 31.1}, "n_rewards": 0, "threshold_crossed": false, "hw_poke_4_calibration": {"slope": 9.5, "intercept": 34.4}, "bad_prob": 0.25}
0.000	state		initiation_state
0.002	event	sync	rsync
0.034	event	input	poke_6_out
0.766	event	input	poke_5
0.767	state		choice_state
0.863	event	input	poke_5_out
1.192	event	input	poke_6
1.193	state		chose_right
1.194	variable	print	{"n_trials": 1, "n_rewards": 1, "n_blocks": 0, "forced_choice": false, "good_poke": "poke_6", "choice": "poke_6", "correct": true, "outcome": true, "mov_ave": 0.5587516, "threshold_crossed": false}
1.285	event	input	poke_6_out
1.338	event	input	poke_6
1.695	state		reward_right
1.758	event	sync	rsync
1.773	state		reward_consumption
4.460	event	input	poke_6_out
4.487	event	input	poke_6
5.242	event	input	poke_6_out
5.269	event	input	poke_6
5.303	event	input	poke_6_out
6.303	event	timer	consumption_timer
6.303	state		inter_trial_interval
7.565	state		initiation_state
9.292	event	input	poke_5
9.293	state		forced_choice_left
9.349	event	input	poke_5_out
9.614	event	input	poke_5
9.678	event	input	poke_5_out
10.006	event	sync	rsync
10.019	event	input	poke_4
10.020	state		chose_left
10.021	variable	print	{"n_trials": 2, "n_rewards": 1, "n_blocks": 0, "forced_choice": true, "good_poke": "poke_6", "choice": "poke_4", "correct": false, "outcome": false, "mov_ave": 0.5587516, "threshold_crossed": false}
10.522	state		no_reward
